Id,Recipe_URLName,Recipe_Name,Ingredients,Instruction,Image,Description,Instruction,Rating,Context
12,Pork-carnitas,Pork Carnitas,"[""1½ tbsp vegetable oil"", ""2 red onions, roughly chopped"", ""1 whole garlic bulb, cut in half"", ""2 tsp dried oregano"", ""2 tsp ground cumin"", ""1 tsp chilli powder"", ""2 bay leaves"", ""4 limes, juiced (reserve the squeezed halves of 3 limes)"", ""2 oranges, juiced (reserve the squeezed halves)"", ""4 tbsp light brown soft sugar"", ""700ml beef stock"", ""1kg pork shoulder"", ""1 onion, roughly chopped""]","[""STEP 1: Heat 1 tbsp of the vegetable oil in large saucepan over a medium heat and cook the red onions for 10-12 mins, stirring occasionally until softened and caramelised. Add the halved garlic bulbs, cut-side down, along with the oregano, cumin, chilli powder and bay leaves. Tip in three-quarters of the lime juice, the orange juice and the reserved citrus halves. Stir in the sugar, turn up the heat and continue to cook until the base has caramelised, about 3-5 mins. Pour in the stock and nestle in the pork. Top up with water so the pork is submerged, then cover and simmer over a low heat for 3-4 hrs until the meat is completely tender and falling apart."", ""STEP 2: Remove the pork to a board and set aside. Turn the heat up to high and reduce the cooking liquor by a third. (This helps intensify the flavour.) Once the liquid has reduced, remove the lime and orange halves with a slotted spoon and discard."", ""STEP 3: Shred the pork using two forks and transfer to an ovenproof dish. Heat the grill to high. Drizzle the remaining ½ tbsp vegetable oil over the pork and grill for 5-10 mins, or until the pork is crispy and charred. Add ladlefuls of the reduced cooking liquor to the pork and toss until it’s well-coated. Combine the chopped onion and remaining lime juice in a bowl with a pinch of salt. Serve the shredded pork in corn tortillas, topped with the onion mixture, salsa and chopped coriander, with the remaining sauce on the side for dipping, if you like. Once cool, the remaining sauce can be frozen for up to three months to use as a base for soups or stews.""]","https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Pork-carnitas-b94893e.jpg?quality=90&webp=true&resize=600,545",Enjoy tender shredded pork on corn tortillas with salsa and chopped coriander. This recipe is inspired by the staple Mexican dish and is easy to make at home.,,,
13,Beef-rissoles,Beef Rissoles,"[""1 onion, grated"", ""50g panko breadcrumbs"", ""400g beef mince"", ""1 courgette, trimmed and grated"", ""1 carrot, grated"", ""1 egg, beaten"", ""1 garlic clove, crushed or finely grated"", ""2 tsp dried mixed herbs"", ""1 tsp Worcestershire sauce"", ""2 tsp vegetable oil""]","[""STEP 1: Mix all the ingredients, except the oil, together into a large bowl with 2 tsp each salt and pepper. Use your hands to make sure everything is well combined. Shape the mince mixture into 14-16 balls, then flatten into small burger-like patties and chill for 15 mins, if you have time (this helps the patties hold their shape)."", ""STEP 2: Heat the oil in a frying pan over a medium-low heat and, once hot, fry the rissoles for 3-4 mins, then flip and fry for 3-4 mins more until cooked through. (You may need to do this in batches.) When ready, they should ready 65C on a meat thermometer. Serve with peas and mash, if you like.""]","https://images.immediate.co.uk/production/volatile/sites/30/2022/08/Beef-Rissoles-c471a6d.jpg?quality=90&webp=true&resize=600,545",Combine meat and veg in these crowd-pleasing beef rissoles – they make a filling and family-friendly supper when served with mash and peas.,,,
14,Fish-tacos,Fish Tacos,"[""1 tsp ground cumin"", ""1 tsp ground coriander"", ""2 tsp smoked paprika"", ""2 limes"", ""500g white fish fillets, such as cod, haddock, pollack or tilapia, skin and bones removed"", ""¼ red cabbage"", ""2 large tomatoes"", ""2 large avocados"", ""2 tbsp vegetable oil"", ""8 small corn or wheat tortilla wraps"", ""small bunch coriander, chopped"", ""1 green chilli, finely sliced, optional"", ""100g soured cream""]","[""STEP 1: Combine the cumin, coriander, paprika and a generous pinch of salt in a large bowl, add the juice from 1 lime and mix well. Toss the fish fillets in the spiced lime paste and set aside while you prepare the salad."", ""STEP 2: Finely slice the cabbage – you can do this by hand or in a food processor if you want it really fine – squeeze over the juice from half a lime and season with a little salt, scrunch the salt and lime into the cabbage and set aside. Chop the tomatoes into small pieces. Stone the avocado, scoop out the soft inside and slice, or if it’s a very ripe avocado you may want to mash it in a bowl with a little lime and salt. Keep all the salad ingredients separate on a board."", ""STEP 3: Heat the grill to high. Line a baking tray with foil and brush with a little oil, place the fish fillets on the tray, pour over any paste from the bowl and brush with a little more oil. Cook the fish close to the grill for 8-10 mins until the fish is cooked and starting to scorch in places, to check its cooked, gently push one of the fillets, it should easily flake when cooked."", ""STEP 4: If you have a gas hob, warm the tortillas directly over the flames with a pair of tongs for a charred finish. Alternatively, wrap in foil and warm in the oven on the shelf beneath the fish."", ""STEP 5: To serve, spread a little soured cream over each warm tortilla, top with a handful of cabbage, some tomatoes and a few slices of avocado. Flake the fish and add a few big chunks to each tortilla then top with coriander, chilli and chilli sauce.""]","https://images.immediate.co.uk/production/volatile/sites/30/2022/08/Fish-Tacos-1337495.jpg?quality=90&webp=true&resize=600,545","Pack in the flavour and lots of veg in this easy fish tacos recipe. It's an easy way to get your family eating more fish, and one portion counts as three of their 5-a-day.",,,
15,Chorizo-bean-burgers,Chorizo Bean Burgers,"[""100g mini cooking chorizo, skins removed"", ""3 pork sausages, squeezed from their skins"", ""¼ tsp smoked paprika"", ""1 tbsp lime juice, plus wedges to serve"", ""small bunch coriander, chopped"", ""½ x 400g can mixed beans, drained and rinsed"", ""1 medium egg, lightly whisked"", ""1 ½ tbsp olive oil, plus extra to drizzle"", ""2 ciabatta rolls, split and toasted""]","[""STEP 1: In a food processor, pulse the chorizo, sausagemeat, paprika, lime juice and coriander until well combined. Add the beans and some seasoning, and quickly pulse again to mix. Tip into a bowl and mix in just enough egg (about half) to bind. Shape into 2 fat burgers, cover and chill for 15 mins. Meanwhile, heat oven to 200C/180C fan/gas 6."", ""STEP 2: Heat the oil in a pan and fry the burgers for 3 mins on each side. Transfer to a baking sheet and cook in the oven for a further 10 mins until cooked through."", ""STEP 3: Serve the burgers in rolls with soured cream, avocado and rocket, with chips and lime wedges on the side, if you like.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1263468_8-b4bb4d5.jpg?quality=90&webp=true&resize=440,400","UCombine Spanish sausage with the traditional pork variety for a pulse-packed, spicy burger.",,,0
16,Butter-bean-&-chorizo-stew,Butter bean & chorizo stew,"[""200g cooking chorizo"", ""2 x 400g cans chopped tomatoes"", ""2 x 400g cans drained butter beans"", ""1 tub fresh pesto, or 130g jar pesto""]","[""STEP 1: Slice the chorizo and tip into a large saucepan over a medium heat. Fry gently for 5 mins or until starting to turn dark brown. Add the tomatoes and butter beans, bring to the boil, then simmer for 10 mins. Swirl through the pesto, season lightly and ladle into four bowls.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/butter-bean-chorizo-stew-c630c75.jpg?quality=90&webp=true&resize=440,400",A hearty stew to feed a family with just four ingredients. Spicy chorizo and fresh pesto provide tons of flavour and it's on the table in just 20 minutes,,,
17,Easy-chicken-casserole,Easy chicken casserole,"[""2 tbsp sunflower oil"", ""400g boneless, skinless chicken thigh, trimmed and cut into chunks"", ""1 onion, finely chopped"", ""3 carrots, finely chopped"", ""3 celery sticks, finely chopped"", ""2 thyme sprigs or ½ tsp dried"", ""1 bay leaf, fresh or dried"", ""600ml vegetable or chicken stock"", ""2 x 400g / 14oz cans haricot beans, drained"", ""chopped parsley, to serve""]","[""STEP 1: Heat the oil in a large pan, add the chicken, then fry until lightly browned. Add the veg, then fry for a few mins more. Stir in the herbs and stock. Bring to the boil. Stir well, reduce the heat, then cover and cook for 40 mins, until the chicken is tender."", ""STEP 2: Stir the beans into the pan, then simmer for 5 mins. Stir in the parsley and serve with crusty bread.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-192693_11-a5d83e6.jpg?quality=90&webp=true&resize=440,400","This flavoursome, low-fat chicken casserole is easy to make and freezes really well, so why not make double and freeze for speedy midweek meals?",,,
18,Salad shirazi,Salad-shirazi,"[""1 cucumber, peeled and cut into 1cm dice"", ""6 ripe vine tomatoes, halved, deseeded and chopped into 1cm dice"", ""1 red onion, finely chopped"", ""200g pomegranate seeds"", ""1-1½ limes, juiced (about 40ml juice)"", ""2-3 tbsp extra virgin olive oil""]","[""STEP 1: Mix the cucumber, tomatoes, onions and pomegranate seeds together in a mixing bowl. Season well, then add the lime juice and olive oil, mix well again and tip into a serving dish.""]","https://images.immediate.co.uk/production/volatile/sites/30/2022/03/SaladShirazi-a882a04.jpg?quality=90&webp=true&resize=600,545","Toss diced tomatoes, cucumber and red onion together with pomegranate seeds, then dress with lime juice and olive oil to make this vibrant Persian salad",,,
19,Roasted-asparagus,Roasted asparagus,"[""200g asparagus"", ""drizzle olive oil""]","[""STEP 1: Heat the oven to 200C/180C fan/gas 6. Snap any woody tips off the asparagus where they naturally break apart. Put on a roasting tray, drizzle with oil and season with salt and pepper. Roast for 12 mins until they are tender.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roasted-asparagus-c69c987.jpg?quality=90&webp=true&resize=440,400",Need some vibrant spring greens to go with your main meal? Try our super simple roasted asparagus recipe to showcase seasonal veg at its finest,,,
20,Crispy-roast-potatoes,Crispy roast potatoes,"[""3kg Maris Piper potatoes (we’ve tried lots of potatoes over the years and these are truly the best)"", ""sunflower oil""]","[""STEP 1: A day or two before roasting, prepare the potatoes. You need chunks or whole potatoes roughly the size of a clementine, so peel and leave whole, halve or quarter accordingly. Place the potatoes in a large pan of cold, salted water – salting is important, so don’t skip it. Bring the water to the boil and simmer gently for about 15 mins until the potatoes are cooked all the way through but not on the brink of collapse. Gently drain the potatoes in a colander, but do not shake them or ruffle them up – just leave them to drain and cool. Once there is no more steam coming off them, place on a tray in a single layer and put them in the fridge, uncovered, until ready to roast."", ""STEP 2: Heat oven to 200C/180C/gas 6 (or put them in when you turn it up for the turkey). Pour oil into a deep roasting tin to give an even layer of about 0.5cm. Place the tin in the oven for 5 mins to heat the oil, then remove from the oven. One at a time and working methodically (starting at one corner of the roasting tin and lining them up as you go) place each potato in the oil and use a spoon to turn it so it’s completely coated. Don’t worry about the oil cooling down too much. Once all the potatoes are in the tin in a single layer, not touching, place the tin in the oven and cook for 40 mins, undisturbed."", ""STEP 3: Remove from the oven and – again, meticulously – turn each potato. Return to the oven for 20 mins, then repeat the potato-turning process again. If, at this stage, your other side dishes allow you to, turn the oven up to 220C/200C fan/gas 7 and give the potatoes a final 20 mins. By now you should have potatoes that are everything a roastie should be: deep, golden and crunchy on the outside with an extra-fluffy middle – just sprinkle with a little sea salt to serve.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/best-ever-roast-potatoes-ebb7897.jpg?quality=90&webp=true&resize=440,400","We've created our ultimate recipe for crispy, crunchy roast potatoes – follow our cookery team's top tips to take this classic side dish from standard to sensational",,,
21,Roasted-stuffed-cauliflower,Roasted stuffed cauliflower,"[""1 large or 2 small cauliflowers (about 850g)"", ""5 tbsp olive oil"", ""4 tbsp breadcrumbs"", ""For the stuffing"", ""250g kale, chopped"", ""1 tbsp milled linseed"", ""1 onion, chopped"", ""2 garlic cloves, chopped"", ""½ small pack sage, leaves chopped"", ""½ small pack rosemary, leaves chopped"", ""150g cooked chestnuts, finely chopped, plus 30g for the topping"", ""2 lemons, zested"", ""good grating nutmeg""]","[""STEP 1: Trim and discard the cauliflower leaves. Turn the cauliflower upside-down on a chopping board and use your knife to carefully cut out the stalk and core, leaving a cavity – the florets should still be holding together."", ""STEP 2: Bring a large pan of salted water to the boil. Submerge the cauliflower and cook for 7 mins, then remove with two slotted spoons and set aside to steam dry. Add the kale to the pan and cook for a min or so until wilted. Drain, then run under cold water to cool. Squeeze out the excess liquid and roughly chop."", ""STEP 3: To make a linseed ‘egg’ (this will bind the stuffing together), mix the ground linseed with 3 tbsp water and set aside for 5-10 mins until gluey. Meanwhile, heat 2 tbsp oil in a frying pan, add the onion and a pinch of salt, and cook until softened, then stir in the remaining stuffing ingredients, including the kale, and cook for a min or so more. Remove from the heat and season, then put in a blender with 150ml water and the linseed egg and blitz to a thick purée. Transfer to a piping bag."", ""STEP 4: Pipe the stuffing mixture into every nook and cranny of the cauliflower, getting in as much of the purée as you can – see our tip below. Transfer to a baking tray lined with parchment. Can be made up to this point in the morning and kept in the fridge."", ""STEP 5: Heat oven to 200C/180C fan/gas 6. Mix the remaining chestnuts with the breadcrumbs and some seasoning. Spoon the remaining oil all over the cauliflower, then pat on the breadcrumb chestnut mix. Roast for 45 mins until golden brown and tender (place under a hot grill for the last part of cooking time if it needs to crisp-up). Serve with any crisp bits that have fallen onto the baking tray.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roasted-cauliflower-ef141ee.jpg?quality=90&webp=true&resize=440,400",Need an alternative to nut roast for veggies and vegans on Christmas Day? Try this festive and filling roasted cauliflower stuffed with kale and chestnuts,,,
22,Celeriac-hazelnut-&-truffle-soup,"Celeriac, hazelnut & truffle soup","[""1 tbsp olive oil"", ""small bunch thyme"", ""2 bay leaves"", ""1 onion, chopped"", ""1 fat garlic clove, chopped"", ""1 celeriac (about 1kg), peeled and chopped"", ""1 potato (about 200g), chopped"", ""1l veg stock (check the label to ensure it’s vegan – we used Marigold)"", ""100ml soya cream"", ""50g blanched hazelnuts, toasted and roughly chopped"", ""1 tbsp truffle oil, plus an extra drizzle to serve""]","[""STEP 1: In a large saucepan, heat the oil over a low heat. Tie the thyme sprigs and bay leaves together with a piece of string and add them to the pan with the onion and a pinch of salt. Cook for about 10 mins until softened but not coloured."", ""STEP 2: Stir in the garlic and cook for 1 min more, then tip in the celeriac and potato. Give everything a good stir and season with a big pinch of salt and white pepper. Pour in the stock, bring to the boil, then simmer for around 30 mins until the vegetables are completely soft."", ""STEP 3: Discard the herbs, then stir through the cream, remove from the heat and blitz until completely smooth. Stir through 1/2 tbsp truffle oil at a time and taste for seasoning – the strength of the oil will vary, so it’s better to start with less oil and add a little at a time."", ""STEP 4: To serve, reheat the soup until piping hot, then ladle into bowls and top with the hazelnuts, some black pepper and an extra drizzle of truffle oil.""]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/celeriac-soup-2e8bf4e.jpg?quality=90&webp=true&resize=440,400","Rustle up this healthy vegan celeriac and hazelnut soup as a starter on Christmas Day. Truffle oil adds a bit of luxury, or leave it out for a simple supper on a winter's night",,,
23,Prawn-jambalaya,Prawn jambalaya,"[""1 tbsp rapeseed oil"", ""1 onion, chopped"", ""3 celery sticks, sliced"", ""100g wholegrain basmati rice"", ""1 tsp mild chilli powder"", ""1 tbsp ground coriander"", ""½ tsp fennel seeds"", ""400g can chopped tomatoes"", ""1 tsp vegetable bouillon powder"", ""1 yellow pepper, roughly chopped"", ""2 garlic cloves, chopped"", ""1 tbsp fresh thyme leaves"", ""150g pack small prawns, thawed if frozen"", ""3 tbsp chopped parsley""]","[""STEP 1: Heat the oil in a large, deep frying pan. Add the onion and celery, and fry for 5 mins to soften. Add the rice and spices, and pour in the tomatoes with just under 1 can of water. Stir in the bouillon powder, pepper, garlic and thyme."", ""STEP 2: Cover the pan with a lid and simmer for 30 mins until the rice is tender and almost all the liquid has been absorbed. Stir in the prawns and parsley, cook briefly to heat through, then serve.""]",,,,,
24,Slow-cooker-bolognese,Slow-cooker bolognese,"[""4 tbsp olive oil"", ""6 smoked bacon rashers, chopped"", ""1½kg lean minced beef (or use half beef, half pork mince)"", ""4 onions, finely chopped"", ""3 carrots, finely chopped"", ""4 celery sticks, finely chopped"", ""8 garlic cloves, crushed"", ""500g mushrooms, sliced"", ""4 x 400g cans chopped tomatoes"", ""6 tbsp tomato purée"", ""2 tbsp dried mixed herbs"", ""2 bay leaves"", ""large glass red wine (optional)"", ""4 tbsp red wine vinegar"", ""1 tbsp sugar"", ""cooked spaghetti, to serve"", ""parmesan, to serve""]","[""STEP 1: Heat the oil in a large pan and fry the bacon and mince in batches until browned. Add to the slow cooker."", ""STEP 2: Add the onions, carrots, celery, garlic, mushrooms, tomatoes, tomato purée, herbs, wine (if using), vinegar, sugar and seasoning to the slow cooker. Cover and cook on Low for 6-8 hours, then uncover, turn to High and cook for another hour until thick and saucy."", ""STEP 3: Serve with cooked spaghetti and grated or shaved parmesan. To cook this entire recipe on the hob, check out our big-batch bolognese recipe."", ]","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bowl_of_spaghetti_bolognese_with_parmesan-2a70011.jpg?quality=90&webp=true&resize=500,454",Batch cook a delicious and healthy spaghetti bolognese in your slow cooker. Freeze the leftovers for easy midweek dinners when you're more pushed for time,,,
25,Sumac-turkey-stuffed pittas,Sumac turkey-stuffed pittas,"[""300g turkey mince"", ""1 tsp sumac"", ""1 tsp ground cumin"", ""1 garlic clove, crushed"", ""1 lemon, zested and juiced"", ""1 tbsp olive oil"", ""¼ white cabbage, finely sliced"", ""small bunch of mint, leaves picked and chopped"", ""½ red onion, finely sliced"", ""½ cucumber, deseeded and chopped"", ""3 tbsp pomegranate seeds"", ""2 large pittas, toasted (gluten-free, if needed)"", ""dairy-free natural yogurt, to serve""]","[""STEP 1: Tip the mince, sumac, cumin, garlic and lemon zest into a bowl, season and combine using your hands. Form into 10 small balls, about 30g each. Heat the oil in a pan over a medium heat and fry the balls for 8-10 mins, shaking the pan now and then until browned and cooked."", ""STEP 2: Combine the cabbage, mint, onion, cucumber and pomegranate seeds with the lemon juice. Season. Stuff the slaw and meatballs into the pittas and serve with the yogurt.""]","https://images.immediate.co.uk/production/volatile/sites/30/2023/03/Sumac-turkey-stuffed-pittas-73482d5.jpg?quality=90&webp=true&resize=600,545","Pair subtly spiced sumac turkey meatballs with sweet-and-sour slaw for a vibrant dinner. This recipe takes just 25 minutes to make and is budget-friendly, too",,,